Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,LinkedIn,Facebook,Twitter,Company Type,Actively Hiring,Industry Groups,Number of Employees,Top 5 Investors,Number of Funding Rounds,Funding Status
eFishery,https://www.crunchbase.com/organization/efishery,,"AgTech, Aquaculture, Farming, Sustainability","Bandung, Jawa Barat, Indonesia",eFishery is an acquculture company that offers feeding solutions for fish and shrimp farming.,207,http://efishery.com,https://www.linkedin.com/company/efisheryid,https://www.facebook.com/efishery.id,https://www.twitter.com/efishery_ai,For Profit,,"Agriculture and Farming, Sustainability",501-1000,"Temasek Holdings, International Finance Corporation, 500 Global, Endeavor Catalyst, SoftBank Vision Fund",13,Late Stage Venture
ASTRO,https://www.crunchbase.com/organization/astro-indonesia,,"Delivery, E-Commerce, Internet","Grogol, Jakarta Raya, Indonesia",ASTRO Indonesia is a quick commerce start-up platform that provides groceries and essentials in 15 mins.,"1,243",https://www.astronauts.id/,https://www.linkedin.com/company/astronautsid,https://www.facebook.com/astronauts.id,https://twitter.com/astronauts_id,For Profit,,"Administrative Services, Commerce and Shopping, Internet Services",501-1000,"Lightspeed Venture Partners, Accel, Goodwater Capital, Tiger Global Management, Peak XV Partners",5,Early Stage Venture
Elevarm,https://www.crunchbase.com/organization/elevarm,,"Agriculture, AgTech, Farming","Bandung, Jawa Barat, Indonesia",Elevarm is an upstream-focused agritech company that enhances agricultural productivity by supporting smallholder farmers.,"1,576",https://www.elevarm.com,https://www.linkedin.com/company/elevarm,,,For Profit,,Agriculture and Farming,101-250,"500 Global, Rabobank, Insignia Ventures Partners, Intudo Ventures, Amartha",5,Seed
SPUN,https://www.crunchbase.com/organization/spun-a72e,,"Business Travel, Document Management, Document Preparation, Travel, Travel Agency","Jakarta, Jakarta Raya, Indonesia",Streamlining visa creation with AI & automation for a more delightful global mobility,"3,187",https://spun.global,https://linkedin.com/company/spunteam/,https://facebook.com/spunglobal,https://x.com/spunglobal,For Profit,,"Administrative Services, Information Technology, Software, Travel and Tourism",11-50,"Antler, Iterative, Kopital Ventures",2,Seed
Qoala,https://www.crunchbase.com/organization/qoala,,"Blockchain, Financial Services, FinTech, Insurance, InsurTech","Jakarta, Jakarta Raya, Indonesia",Qoala is an omnichannel insur-tech company that aims to make insurance universally accessible and easy to use.,"3,874",https://www.qoala.app,https://www.linkedin.com/company/qoala,https://www.facebook.com/qoalaapp,https://x.com/qoalaid,For Profit,,"Blockchain and Cryptocurrency, Financial Services, Other",251-500,"Sequoia Capital, Flourish Ventures, Peak XV Partners, responsAbility Investments, AppWorks",6,Late Stage Venture
JULO,https://www.crunchbase.com/organization/julo-2,,"Consumer Lending, Credit, Finance, Financial Services, FinTech, Lending","Jakarta, Jakarta Raya, Indonesia","JULO is a digital lending company that provides affordable, unsecured personal loans for consumers.","3,901",https://www.julo.co.id,https://www.linkedin.com/company/juloindonesia,https://www.facebook.com/JULOIndonesia,https://twitter.com/juloindonesia,For Profit,,"Financial Services, Lending and Investments",501-1000,"Quona Capital, East Ventures, Gobi Partners, MDI Ventures, AC Ventures",6,
ALAMI,https://www.crunchbase.com/organization/alami,,"Financial Services, FinTech, Lending, Peer to Peer, Small and Medium Businesses","Jakarta, Jakarta Raya, Indonesia",ALAMI is a peer-to-peer (P2P) lending platform that helps people fund small businesses.,"4,081",https://alamisharia.co.id,https://id.linkedin.com/company/alamisharia,https://www.facebook.com/alamisharia,https://twitter.com/alamisharia,For Profit,,"Financial Services, Other",51-100,"Quona Capital, Golden Gate Ventures, East Ventures, Capria Ventures, Intudo Ventures",12,Early Stage Venture
Intudo Ventures,https://www.crunchbase.com/organization/intudo-ventures,,"Business Development, Financial Services, Venture Capital","Jakarta, Jakarta Raya, Indonesia",Intudo Ventures is a venture capital firm with an involved and concentrated portfolio approach.,"4,902",https://www.intudovc.com,https://www.linkedin.com/company/intudoventures,,,,,"Financial Services, Lending and Investments, Professional Services",1-10,,,
AgriAku,https://www.crunchbase.com/organization/agriaku,,"Agriculture, AgTech, B2B, Farming","Jakarta, Jakarta Raya, Indonesia","AgriAku is a technology-based local agribusiness company that acts as a distribution bridge for farmers, partners, and producers.","4,966",https://agriaku.com,https://www.linkedin.com/company/agriaku,https://www.facebook.com/agriaku,,For Profit,,"Agriculture and Farming, Other",101-250,"Alpha JWC Ventures, TNB Aura, InnoVen Capital, MDI Ventures, Argor Capital",5,
Xendit,https://www.crunchbase.com/organization/xendit,,"Finance, Financial Services, FinTech, Payments, Small and Medium Businesses","Jakarta, Jakarta Raya, Indonesia","Xendit is a fintech company that provides end-to-end digital payment solutions for SMBs, e-commerce startups, and large enterprises.","5,694",http://www.xendit.co,https://www.linkedin.com/company/xendit,,https://twitter.com/xenditco,For Profit,,"Financial Services, Other, Payments",501-1000,"Y Combinator, Insight Partners, Accel, Coatue, Kleiner Perkins",6,Late Stage Venture
