Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Industry Groups,Number of Employees,Funding Status,Founders,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Full Description,Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Company Type,Hub Tags,Actively Hiring,Investor Type,Investment Stage,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Number of Portfolio Organizations,School Type,School Program,Number of Enrollments,School Method,Number of Alumni,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Number of Funding Rounds,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,CB Rank (Organization),Similar Companies,Contact Job Departments,Total Products Active,Stage
ASTRO,https://www.crunchbase.com/organization/astro-indonesia,"Delivery, E-Commerce, Internet","Grogol, Jakarta Raya, Indonesia",ASTRO Indonesia is a quick commerce start-up platform that provides groceries and essentials in 15 mins.,530,"Administrative Services, Commerce and Shopping, Internet Services",501-1000,Early Stage Venture,"Jessica Jap, Marcella Moniaga, Sherlyn Gautama, Vincent Tjendra, Wandi Budianto",2021-09-01,month,,,,,https://www.astronauts.id/,https://twitter.com/astronauts_id,https://www.facebook.com/astronauts.id,https://www.linkedin.com/company/astronautsid,info@astronauts.id,,"Astro is Indonesia’s first and fastest-growing quick commerce platform, delivering groceries and essentials in minutes, 24/7. With a mission to simplify lives, Astro saves people time, energy, and money through speed and convenience. Inspired by real astronauts, the company embodies boldness, innovation, and agility in everything it does.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,Active,For Profit,,,,,,,,,,,,,,,,2023-07-17,,,,Non-equity Assistance,60000000.0,USD,60000000.0,Series B,91550000.0,USD,91550000.0,91550000.0,USD,91550000.0,5.0,"Accel, Lightspeed Venture Partners, Peak XV Partners, Goodwater Capital, Tiger Global Management",8.0,11.0,,,Private,,,,,,,,,,,,,656,7.0,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Operations, Product, Sales, Support",,
eFishery,https://www.crunchbase.com/organization/efishery,"AgTech, Aquaculture, Farming, Sustainability","Bandung, Jawa Barat, Indonesia",eFishery is an acquculture company that offers feeding solutions for fish and shrimp farming.,591,"Agriculture and Farming, Sustainability",501-1000,Late Stage Venture,"Chrisna Aditya, Gibran Huzaifah, Muhammad Ihsan Akhirulsyah",2013-01-01,year,,,,,http://efishery.com,https://www.twitter.com/efishery_ai,https://www.facebook.com/efishery.id,https://www.linkedin.com/company/efisheryid,contact@efishery.com,+6222 20462178,"EFishery is an aquaculture technology startup that builds technology solutions from smart feeding to a cloud-based dashboard and data platform to help fish and shrimp farmers grow their businesses sustainably. EFishery solves the problem of one of the crucial and growing industries in the world: aquaculture. EFishery creates an ecosystem in which fish and shrimp farmers can easily boost productivity while also providing a more sustainable, safe, and equitable environment.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",40135,$100M to $500M,Active,For Profit,Unicorn,,,,,,,,,,,,,,,2024-05-31,30000000.0,USD,30000000.0,Debt Financing,92000000.0,USD,92000000.0,Series D,310200000.0,USD,310200000.0,372915623.0,USD,372915623.0,13.0,"Temasek Holdings, International Finance Corporation, Peak XV Partners, 500 Global, Endeavor Catalyst",11.0,29.0,1.0,Made Acquisitions,Private,,,,,,,,,,,,,734,14.0,"Engineering, Information Technology, Legal, Management, Marketing, Sales",35.0,
Eratani,https://www.crunchbase.com/organization/eratani,"Agriculture, AgTech, Information Services, Supply Chain Management","Jakarta, Jakarta Raya, Indonesia",Eratani is an agri-tech company that provides integrated and comprehensive solutions for agricultural ecosystems.,"1,748","Agriculture and Farming, Information Technology, Transportation",101-250,Early Stage Venture,"Andrew Soeherman, Kevin Juan Laksono",2021-01-01,year,,,,,https://eratani.co.id,,https://www.facebook.com/Eratani.Official/,https://www.linkedin.com/company/eratani,info@eratani.co.id,+62 215 011 1039,Eratani is an Agri-tech company that focuses on building an agricultural ecosystem and seeks to provide farmers with access to technology to increase the productivity and welfare of the agricultural ecosystem. Their aim is to create a healthy agricultural environment by utilizing digitalization and transparency at every stage. Collaborating with food and beverage companies to increase national food security.,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12430,$10M to $50M,Active,For Profit,,,,,,,,,,,,,,,,2025-04-17,6200000.0,USD,6200000.0,Series A,6200000.0,USD,6200000.0,Series A,13593349.0,USD,13593349.0,13593349.0,USD,13593349.0,6.0,"TNB Aura, AgFunder, Clay Capital, Kopi Kenangan, SBI Ven Capital",5.0,20.0,,,Private,,,,,,,,,,,,,"2,088",14.0,"Operations, Product",,
Xendit,https://www.crunchbase.com/organization/xendit,"Finance, Financial Services, FinTech, Payments, Small and Medium Businesses","Jakarta, Jakarta Raya, Indonesia","Xendit is a fintech company that provides end-to-end digital payment solutions for SMBs, e-commerce startups, and large enterprises.","2,320","Financial Services, Other, Payments",501-1000,Late Stage Venture,"Bo Chen, Moses Lo, Tessa Wijaya",2014-01-01,year,,,,,http://www.xendit.co,https://twitter.com/xenditco,,https://www.linkedin.com/company/xendit,support@xendit.co,+62 21 7230 763,"Xendit is a Southeast Asian fintech company that provides payment infrastructure across Indonesia and the Philippines. Xendit processes payments, runs marketplaces, disburses payroll and loans, detects fraud, and helps other businesses grow exponentially. They serve these companies by providing a suite of world-class APIs and a dashboard UI that simplifies processes. Xendit was founded by Moses Lo, Tessa Wijaya, Bo Chen and Juan Gonzalez.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$100M to $500M,Active,For Profit,Unicorn,,,,8.0,4.0,,,,6.0,,,,,,2022-05-19,300000000.0,USD,300000000.0,Series D,300000000.0,USD,300000000.0,Series D,534720000.0,USD,534720000.0,534720000.0,USD,534720000.0,6.0,"Y Combinator, Accel, Insight Partners, Coatue, Kleiner Perkins",6.0,21.0,1.0,Made Acquisitions,Private,,,,,,,,,,,,,"2,758",17.0,"Engineering, Human Resources, Information Technology, Management, Medical & Science, Operations, Product, Sales",43.0,
Intudo Ventures,https://www.crunchbase.com/organization/intudo-ventures,"Business Development, Financial Services, Venture Capital","Jakarta, Jakarta Raya, Indonesia",Intudo Ventures is a venture capital firm with an involved and concentrated portfolio approach.,"2,970","Financial Services, Lending and Investments, Professional Services",1-10,,"Eddy Chan, Patrick Yip",2017-04-01,month,,,,,https://www.intudovc.com,,,https://www.linkedin.com/company/intudoventures,contact@intudovc.com,,"Intudo Ventures is an “Indonesia-only” independent venture capital firm with a concentrated portfolio approach (US$500K-US$5M initial investment per company) capitalizing on the rapid growth of private consumption and rising middle class in Indonesia (268 million population, fourth most populous country in the world).   For Prospective & Existing Portfolio Companies: Our team’s background in founding and operating companies, venture investing, business development/strategy, human resources/recruiting and capital raising/deal structuring coupled with our diverse LP based allows us to provide a unique value-add approach to such portfolio companies, where we can deliver results on each of such matters, effectively acting as an interim Chief Strategy Officer, Head of Human Resources and Chief Financial Officer, until a company can hit scale at Series B and later.  For Limited Partners: The firm acts as the “Indonesia beachhead” strategy for dozens of leading institutions, VC/PE/hedge funds, corporations and family offices from the United States, Greater China, Japan, Korea, Southeast Asia and Europe and supports the “digital transformation” strategy of dozens of leading Indonesian conglomerates.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$1M to $10M,Active,,,,Venture Capital,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",49.0,28.0,,1.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,"3,513",4.0,Operations,,
Fore Coffee,https://www.crunchbase.com/organization/fore-coffee,"Coffee, Food and Beverage, Retail","Jakarta Pusat, Jakarta Raya, Indonesia",Fore Coffee is a coffee company that sells coffee and beans.,"3,044","Commerce and Shopping, Food and Beverage",101-250,IPO,"Elisa Suteja, Jhoni Kusno, Robin Boe",2018-01-01,year,2025-04-15,day,,,https://fore.coffee,https://twitter.com/forecoffeeid,https://www.facebook.com/fore.coffee,https://www.linkedin.com/company/fore-coffee,hello@fore.coffee,+62 0812 1111 8456,"Fore Coffee is an operator of a coffee joint intended to change coffee consumption with technology. The company's joint offers each cup brewed with freshly roasted beans that are sourced, roasted, and developed with an espresso blend with only Arabica beans, enabling consumers to savor a strong and flavourful coffee.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12110,$10M to $50M,Active,For Profit,,,,,,,,,,,,,,,,2019-11-06,30000000.0,USD,30000000.0,Venture - Series Unknown,30000000.0,USD,30000000.0,Venture - Series Unknown,39500000.0,USD,39500000.0,39500000.0,USD,39500000.0,3.0,"East Ventures, Pavilion Capital, Insignia Ventures Partners, AC Ventures, Agaeti Venture Capital",1.0,8.0,,,Public,2025-04-15,,,353440000000.0,IDR,21012741.0,,,,FORE,https://www.crunchbase.com/ipo/fore-coffee-ipo--9930a338,IDX - Indonesia Stock Exchange,"3,598",17.0,"Engineering, Finance, Operations, Product, Sales",11.0,
DANA,https://www.crunchbase.com/organization/dana-wallet-indonesia,"Finance, Financial Services, FinTech, InsurTech, Mobile Apps, Payments","Jakarta, Jakarta Raya, Indonesia",DANA is a payment service platform that offers financial services.,"3,576","Apps, Financial Services, Mobile, Payments, Software",501-1000,Early Stage Venture,Vincent Henry Iswaratioso,2017-07-01,month,,,,,https://www.dana.id,https://twitter.com/danawallet,https://www.facebook.com/danawallet,https://www.linkedin.com/company/dana-indonesia/,help@dana.id,+62 1500445,"DANA is a fintech company that aims to bring in inclusive financial services to empower people for a better living. The company aims to be one of the pillars of digital economy in Indonesia by enabling the society to transact seamlessly. As a highly secured and scalable payment service platform to connect everyone based on world class technology, DANA's goal is to provide Indonesia with a trustworthy and convenient mobile payment system to cater the needs of its customers, and sustainable profitable business for its stakeholders.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12790,$50M to $100M,Active,For Profit,Unicorn,,,,,,,,,,,,,,,2022-08-10,304500000.0,USD,304500000.0,Secondary Market,250000000.0,USD,250000000.0,Series A,250000000.0,USD,250000000.0,554500000.0,USD,554500000.0,3.0,"Lazada Group, Endeavor Indonesia, Living Lab Ventures",1.0,3.0,,,Private,,,,,,,,,,,,,"4,216",16.0,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical & Science, Operations, Pro Services, Product, Sales, Support",,
Vidio,https://www.crunchbase.com/organization/vidio,"Media and Entertainment, Video, Video Streaming","Dki Jakarta, Jakarta Raya, Indonesia","Vidio is an OTT video platform that allows users to upload, watch, and share videos.","5,001","Content and Publishing, Media and Entertainment, Video",501-1000,Private Equity,Adi Sariaatmadja,2014-10-01,day,,,,,https://www.vidio.com,https://www.twitter.com/vidiodotcom,https://www.facebook.com/vidiodotcom,https://www.linkedin.com/company/vidio-dot-com,,,"Vidio is a video-sharing website that allows users to upload, watch, and share videos anytime and anywhere. Vidio features a live and video on-demand content library for users to be able to pick videos they like to watch. It offers a range of Indonesian and International film and drama titles, e-sports, anime, and educational content. Vidio also produces Indonesian original series' as well as broadcasts complete live sports shows, both local and international.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$10M to $50M,Active,For Profit,Emerging Unicorn,,,,,,,,,,,,,,,2022-06-14,45000000.0,USD,45000000.0,Private Equity,45000000.0,USD,45000000.0,Private Equity,195000000.0,USD,195000000.0,195000000.0,USD,195000000.0,2.0,"Grab, Affinity Equity Partners, Dian Swastatika Sentosa, Bali United Football Club, PT Ekonomi Baru Investasi Teknologi",1.0,5.0,,,Private,,,,,,,,,,,,,"5,845",28.0,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Operations, Product, Sales",49.0,
BitcoinAs,https://www.crunchbase.com/organization/bitcoinas,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, Foreign Exchange Trading","Bandar Lampung, Lampung, Indonesia","BitcoinAs is an educational web center, on how to, tutorials on forex trading, cryptocurenccy and much more","5,422","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",51-100,Seed,,2020-05-05,day,,,,,https://bitcoinas.org,https://m.twitter.com/bitcoinas,https://m.facebook.com/bitcoinas,https://id.linkedin.com/bitcoinas,info@bitcoinas.org,+658997435,"Information center on Cryptocurency, Stocks and Forex trading","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,Active,For Profit,,,,,,,,,,,,,,,,2022-01-02,45000.0,USD,45000.0,Seed,45000.0,USD,45000.0,Seed,45000.0,USD,45000.0,45000.0,USD,45000.0,1.0,Crypto.Holdings,,1.0,,,Private,,,,,,,,,,,,,"6,322",7.0,,,
SPUN,https://www.crunchbase.com/organization/spun-a72e,"Business Travel, Document Management, Document Preparation, Travel, Travel Agency","Jakarta, Jakarta Raya, Indonesia",Streamlining visa creation with AI & automation for a more delightful global mobility,"5,507","Administrative Services, Information Technology, Software, Travel and Tourism",11-50,Seed,"Christa Sabathaly, Dilla Anindita",2024-01-01,month,,,,,https://spun.global,https://x.com/spunglobal,https://facebook.com/spunglobal,https://linkedin.com/company/spunteam/,contact@spun.global,+6285779900081,"SPUN is an online visa platform designed to simplify global mobility with a seamless, user-friendly experience. Our intuitive interface makes it easy to explore and purchase over 200 visas for 80+ countries, get personalized guidance through an AI-powered assistant, and complete forms effortlessly with automation. By combining great design with powerful automation, we remove the frustration from visa applications—so you can focus on the journey, not the paperwork.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12190,,Active,For Profit,,,,,,,,,,,,,,,,2025-03-18,,,,Pre-Seed,,,,Pre-Seed,125000.0,USD,125000.0,125000.0,USD,125000.0,2.0,"Antler, Iterative, Kopital Ventures",2.0,3.0,,,Private,,,,,,,,,,,,,"6,419",9.0,,,
